date,open,high,low,close,volume
20260314,-1150.26,-1150.26,-1150.26,-1150.26,0
20260314,-1150.26,-1150.26,-1150.26,-1150.26,0
20260314,-1150.26,-1150.26,-1150.26,-1150.26,0
20260314,-1150.26,-1150.26,-1150.26,-1150.26,0
20260314,-1150.26,-1150.26,-1150.26,-1150.26,0
20260314,-1150.26,-1150.26,-1150.26,-1150.26,0
20260314,-1150.26,-1150.26,-1150.26,-1150.26,0
20260314,-1150.26,-1150.26,-1150.26,-1150.26,0
20260314,-1150.26,-1150.26,-1150.26,-1150.26,0
20260314,-1150.26,-1150.26,-1150.26,-1150.26,0
20260314,-1150.26,-1150.26,-1150.26,-1150.26,0
20260314,-1150.26,-1150.26,-1150.26,-1150.26,0
20260314,-1150.26,-1150.26,-1150.26,-1150.26,0
20260314,-1150.26,-1150.26,-1150.26,-1150.26,0
20260314,-1150.26,-1150.26,-1150.26,-1150.26,0
20260314,-1128.42,-1128.42,-1128.42,-1128.42,0
